geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
15000US060371011101,"Block Group 1, Los Angeles, CA",2286,478,1691,460,18,31,0,12,194,160,0,12,290,262,93,108,0,12,93,108
15000US060371011102,"Block Group 2, Los Angeles, CA",1601,326,1009,283,18,20,7,17,147,113,0,12,379,239,41,41,0,12,41,41
15000US060371011103,"Block Group 3, Los Angeles, CA",1125,300,940,314,8,13,0,12,86,108,0,12,91,96,0,12,0,12,0,12
15000US060371011221,"Block Group 1, Los Angeles, CA",2199,363,1431,344,0,12,6,11,378,117,0,12,200,139,184,131,38,56,146,123
15000US060371011222,"Block Group 2, Los Angeles, CA",1305,277,1049,253,30,41,0,12,89,86,0,12,54,66,83,89,8,14,75,91
15000US060371012101,"Block Group 1, Los Angeles, CA",3003,579,1877,517,156,170,0,12,127,105,0,12,765,439,78,98,61,95,17,27
15000US060371012102,"Block Group 2, Los Angeles, CA",3601,578,2444,556,179,124,0,12,96,84,0,12,754,407,128,104,0,12,128,104
15000US060371012201,"Block Group 1, Los Angeles, CA",1111,293,697,255,8,12,0,12,111,82,0,12,240,144,55,55,28,44,27,32
15000US060371012202,"Block Group 2, Los Angeles, CA",2012,316,1424,289,95,111,17,30,180,123,0,12,172,131,124,98,10,17,114,96
15000US060371013001,"Block Group 1, Los Angeles, CA",1380,325,1221,323,0,12,5,10,93,78,0,12,60,82,1,2,0,12,1,2
15000US060371013002,"Block Group 2, Los Angeles, CA",945,266,748,224,28,33,0,12,169,139,0,12,0,12,0,12,0,12,0,12
15000US060371013003,"Block Group 3, Los Angeles, CA",945,269,690,214,0,12,0,12,19,21,0,12,223,259,13,19,0,12,13,19
15000US060371013004,"Block Group 4, Los Angeles, CA",977,295,959,295,0,12,0,12,18,21,0,12,0,12,0,12,0,12,0,12
15000US060371014001,"Block Group 1, Los Angeles, CA",933,262,797,227,0,12,0,12,0,12,0,12,60,80,76,122,0,12,76,122
15000US060371014002,"Block Group 2, Los Angeles, CA",1726,363,1270,344,110,101,28,45,108,82,0,12,174,208,36,34,0,12,36,34
15000US060371014003,"Block Group 3, Los Angeles, CA",1388,261,935,236,69,112,17,22,192,69,0,12,92,71,83,98,0,12,83,98
15000US060371021031,"Block Group 1, Los Angeles, CA",1755,256,1539,251,0,12,13,23,99,79,0,12,43,45,61,55,41,43,20,30
15000US060371021041,"Block Group 1, Los Angeles, CA",2154,302,1740,251,51,45,0,12,299,167,0,12,35,16,29,40,0,12,29,40
15000US060371021042,"Block Group 2, Los Angeles, CA",1072,343,838,279,0,12,0,12,183,208,0,12,0,12,51,70,51,70,0,12
15000US060371021051,"Block Group 1, Los Angeles, CA",944,341,756,355,0,12,0,12,4,8,0,12,116,100,68,101,64,101,4,8
15000US060371021052,"Block Group 2, Los Angeles, CA",903,248,677,253,0,12,0,12,83,97,0,12,122,128,21,25,0,12,21,25
15000US060371021071,"Block Group 1, Los Angeles, CA",2298,419,1841,434,84,83,0,12,102,100,17,19,186,166,68,61,38,42,30,44
15000US060371021072,"Block Group 2, Los Angeles, CA",1244,331,979,305,10,18,0,12,240,151,0,12,10,18,5,11,0,12,5,11
15000US060371031011,"Block Group 1, Los Angeles, CA",1778,225,1410,253,4,6,0,12,194,125,15,22,155,122,0,12,0,12,0,12
15000US060371031012,"Block Group 2, Los Angeles, CA",1008,251,866,271,3,5,0,12,103,82,0,12,15,23,21,25,0,12,21,25
15000US060371031021,"Block Group 1, Los Angeles, CA",1309,408,1077,402,0,12,0,12,207,213,0,12,0,12,25,31,0,12,25,31
15000US060371031022,"Block Group 2, Los Angeles, CA",781,254,691,246,24,39,0,12,0,12,0,12,66,67,0,12,0,12,0,12
15000US060371031023,"Block Group 3, Los Angeles, CA",1299,441,1038,419,0,12,0,12,72,131,0,12,144,161,45,70,0,12,45,70
15000US060371031024,"Block Group 4, Los Angeles, CA",743,311,470,193,8,13,14,21,44,49,0,12,173,239,34,33,0,12,34,33
15000US060371031025,"Block Group 5, Los Angeles, CA",982,294,623,210,0,12,0,12,350,260,0,12,0,12,9,14,0,12,9,14
15000US060371032001,"Block Group 1, Los Angeles, CA",2107,367,1690,333,47,88,0,12,96,79,0,12,200,228,74,82,0,12,74,82
15000US060371032002,"Block Group 2, Los Angeles, CA",2074,528,1681,497,78,102,0,12,244,160,0,12,52,69,19,32,19,32,0,12
15000US060371032003,"Block Group 3, Los Angeles, CA",1852,353,1297,332,48,47,0,12,201,123,0,12,249,165,57,50,26,42,31,30
15000US060371033001,"Block Group 1, Los Angeles, CA",1620,329,1383,329,2,5,0,12,89,49,0,12,65,74,81,78,39,63,42,47
15000US060371033002,"Block Group 2, Los Angeles, CA",1629,307,1452,295,10,17,0,12,44,34,0,12,60,65,63,55,0,12,63,55
15000US060371034001,"Block Group 1, Los Angeles, CA",1388,489,1153,435,0,12,0,12,45,45,0,12,0,12,190,225,0,12,190,225
15000US060371034002,"Block Group 2, Los Angeles, CA",988,321,625,324,7,8,7,16,100,108,0,12,185,300,64,64,18,32,46,57
15000US060371034003,"Block Group 3, Los Angeles, CA",484,211,460,208,0,12,0,12,16,25,0,12,0,12,8,15,8,15,0,12
15000US060371034004,"Block Group 4, Los Angeles, CA",1185,383,999,380,3,7,0,12,60,84,0,12,44,57,79,114,16,26,63,110
15000US060371034005,"Block Group 5, Los Angeles, CA",2652,544,1852,432,152,188,14,23,261,155,0,12,37,61,336,225,151,143,185,190
15000US060371041031,"Block Group 1, Los Angeles, CA",2170,443,1296,408,276,219,83,102,130,80,4,9,289,161,92,71,37,60,55,37
15000US060371041032,"Block Group 2, Los Angeles, CA",1403,266,664,226,232,91,9,15,250,89,4,7,221,133,23,37,7,11,16,26
15000US060371041051,"Block Group 1, Los Angeles, CA",1593,364,417,222,396,219,0,12,265,135,0,12,503,344,12,24,0,12,12,24
15000US060371041052,"Block Group 2, Los Angeles, CA",4078,497,2320,448,134,134,13,20,164,152,0,12,1275,434,172,142,157,139,15,22
15000US060371041081,"Block Group 1, Los Angeles, CA",2239,523,1118,598,200,94,0,12,20,21,0,12,880,416,21,25,0,12,21,25
15000US060371041082,"Block Group 2, Los Angeles, CA",2169,575,1230,490,184,94,9,15,125,83,0,12,594,553,27,24,7,12,20,21
15000US060371041083,"Block Group 3, Los Angeles, CA",987,343,345,194,80,67,16,29,0,12,0,12,410,276,136,221,0,12,136,221
15000US060371041241,"Block Group 1, Los Angeles, CA",1783,422,1277,380,64,62,0,12,0,12,0,12,374,285,68,105,0,12,68,105
15000US060371041242,"Block Group 2, Los Angeles, CA",1949,574,1183,566,498,247,0,12,145,120,0,12,82,65,41,42,12,25,29,31
15000US060371041243,"Block Group 3, Los Angeles, CA",546,203,505,209,0,12,0,12,3,6,0,12,38,62,0,12,0,12,0,12
15000US060371042011,"Block Group 1, Los Angeles, CA",1372,484,734,427,282,148,0,12,0,12,0,12,356,277,0,12,0,12,0,12
15000US060371042012,"Block Group 2, Los Angeles, CA",2327,522,1726,562,224,177,24,41,0,12,0,12,278,236,75,104,14,23,61,100
15000US060371042013,"Block Group 3, Los Angeles, CA",998,332,720,326,130,98,0,12,0,12,0,12,112,127,36,60,36,60,0,12
15000US060371042031,"Block Group 1, Los Angeles, CA",2508,482,1203,377,57,64,0,12,201,208,0,12,1047,404,0,12,0,12,0,12
15000US060371042032,"Block Group 2, Los Angeles, CA",2104,401,1472,362,246,110,0,12,0,12,0,12,386,305,0,12,0,12,0,12
15000US060371042041,"Block Group 1, Los Angeles, CA",1593,407,894,322,199,109,74,107,59,82,0,12,306,188,61,73,5,11,56,72
